Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Russian Federation,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Rwanda,5.62 ,2.97 , 8.24,,6.04 ,3.67 , 8.25,,6.37 ,4.63 , 8.17,,6.45 ,4.97 , 8.11,,6.52 ,5.23 , 7.79,,6.63 ,5.55 , 7.83,,6.65 ,5.66 , 7.90,,6.27 ,5.42 , 7.38,,5.54 ,4.82 , 6.54,,5.20 ,4.60 , 6.01,,4.72 ,4.20 , 5.35,,4.18 ,3.72 , 4.70,,3.81 ,3.44 , 4.27,,2.87 ,2.57 , 3.66,,2.50 ,2.24 , 3.18,,2.20 ,1.97 , 2.81,,2.01 ,1.76 , 2.51,,1.81 ,1.55 , 2.32,,1.77 ,1.45 , 2.27,,1.60 ,1.32 , 2.04,,1.48 ,1.22 , 1.89,,1.37 ,1.12 , 1.77,,1.25 ,1.01 , 1.62,,1.11 ,0.87 , 1.45,,1.01 ,0.79 , 1.33,,0.92 ,0.72 , 1.22,,0.83 ,0.64 , 1.12,,0.73 ,0.54 , 0.99,,0.67 ,0.49 , 0.92,,0.62 ,0.45 , 0.87,,0.58 ,0.40 , 0.85,
Sao Tome and Principe,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Saudi Arabia,0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.02,,0.02 ,<0.01 , 0.02,,0.02 ,0.01 , 0.03,,0.02 ,0.01 , 0.03,,0.02 ,0.02 , 0.03,,0.02 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.03 , 0.03,,0.03 ,0.03 , 0.03,,0.03 ,0.03 , 0.04,,0.04 ,0.04 , 0.04,,0.04 ,0.04 , 0.04,,0.04 ,0.04 , 0.05,,0.04 ,0.04 , 0.05,,0.03 ,0.03 , 0.04,,0.03 ,0.03 , 0.04,,0.03 ,0.03 , 0.04,,0.04 ,0.03 , 0.04,,0.04 ,0.03 , 0.04,,0.04 ,0.04 , 0.05,,0.05 ,0.04 , 0.05,,0.05 ,0.04 , 0.06,,0.05 ,0.05 , 0.07,,0.06 ,0.05 , 0.07,,0.07 ,0.06 , 0.09,,0.07 ,0.06 , 0.09,,0.07 ,0.06 , 0.10,,0.08 ,0.06 , 0.11,,0.07 ,0.05 , 0.11,
Senegal,0.42 ,0.32 , 0.53,,0.49 ,0.38 , 0.61,,0.58 ,0.45 , 0.70,,0.67 ,0.53 , 0.80,,0.77 ,0.62 , 0.92,,0.85 ,0.70 , 1.02,,0.93 ,0.78 , 1.12,,1.01 ,0.86 , 1.22,,1.07 ,0.91 , 1.27,,1.09 ,0.94 , 1.30,,1.10 ,0.95 , 1.29,,1.07 ,0.93 , 1.26,,1.02 ,0.87 , 1.18,,0.93 ,0.79 , 1.09,,0.82 ,0.70 , 0.96,,0.75 ,0.63 , 0.88,,0.62 ,0.51 , 0.73,,0.50 ,0.40 , 0.60,,0.34 ,0.28 , 0.43,,0.28 ,0.23 , 0.35,,0.21 ,0.17 , 0.26,,0.16 ,0.13 , 0.20,,0.13 ,0.10 , 0.17,,0.12 ,0.09 , 0.16,,0.12 ,0.09 , 0.15,,0.12 ,0.09 , 0.15,,0.12 ,0.10 , 0.16,,0.12 ,0.10 , 0.16,,0.13 ,0.10 , 0.16,,0.12 ,0.09 , 0.16,,0.12 ,0.09 , 0.15,
Serbia,0.04 ,0.03 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.03 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.03 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.03 , 0.04,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.05,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.05,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.05,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.05,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.06,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.06,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.06,"Children estimates were not available at the time of publication.",0.05 ,0.03 , 0.07,"Children estimates were not available at the time of publication.",0.05 ,0.02 , 0.07,"Children estimates were not available at the time of publication.",0.05 ,0.02 , 0.07,"Children estimates were not available at the time of publication.",0.05 ,0.02 , 0.07,"Children estimates were not available at the time of publication."
Sierra Leone,1.58 ,0.71 , 2.45,,1.75 ,0.89 , 2.57,,1.87 ,1.11 , 2.63,,1.98 ,1.29 , 2.70,,2.04 ,1.50 , 2.71,,2.08 ,1.56 , 2.71,,2.06 ,1.56 , 2.65,,2.03 ,1.55 , 2.59,,2.02 ,1.59 , 2.54,,1.97 ,1.58 , 2.47,,1.89 ,1.55 , 2.32,,1.82 ,1.52 , 2.18,,1.76 ,1.50 , 2.06,,1.69 ,1.46 , 1.95,,1.62 ,1.40 , 1.90,,1.58 ,1.35 , 1.82,,1.50 ,1.28 , 1.74,,1.46 ,1.24 , 1.70,,1.48 ,1.25 , 1.75,,1.43 ,1.21 , 1.69,,1.34 ,1.13 , 1.57,,1.29 ,1.08 , 1.50,,1.24 ,1.03 , 1.45,,1.22 ,0.99 , 1.42,,1.20 ,0.97 , 1.41,,1.18 ,0.96 , 1.41,,1.13 ,0.90 , 1.37,,1.07 ,0.82 , 1.35,,0.98 ,0.72 , 1.28,,0.91 ,0.65 , 1.20,,0.83 ,0.59 , 1.15,
Singapore,0.09 ,0.08 , 0.10,"Children estimates were not available at the time of publication.",0.12 ,0.10 , 0.13,"Children estimates were not available at the time of publication.",0.14 ,0.12 , 0.16,"Children estimates were not available at the time of publication.",0.16 ,0.14 , 0.18,"Children estimates were not available at the time of publication.",0.17 ,0.15 , 0.20,"Children estimates were not available at the time of publication.",0.18 ,0.16 , 0.21,"Children estimates were not available at the time of publication.",0.18 ,0.16 , 0.21,"Children estimates were not available at the time of publication.",0.19 ,0.16 , 0.22,"Children estimates were not available at the time of publication.",0.19 ,0.15 , 0.22,"Children estimates were not available at the time of publication.",0.19 ,0.16 , 0.23,"Children estimates were not available at the time of publication.",0.20 ,0.16 , 0.23,"Children estimates were not available at the time of publication.",0.20 ,0.17 , 0.24,"Children estimates were not available at the time of publication.",0.21 ,0.18 , 0.25,"Children estimates were not available at the time of publication.",0.22 ,0.19 , 0.27,"Children estimates were not available at the time of publication.",0.23 ,0.19 , 0.28,"Children estimates were not available at the time of publication.",0.24 ,0.20 , 0.29,"Children estimates were not available at the time of publication.",0.24 ,0.20 , 0.30,"Children estimates were not available at the time of publication.",0.24 ,0.19 , 0.30,"Children estimates were not available at the time of publication.",0.23 ,0.19 , 0.29,"Children estimates were not available at the time of publication.",0.22 ,0.18 , 0.28,"Children estimates were not available at the time of publication.",0.20 ,0.17 , 0.26,"Children estimates were not available at the time of publication.",0.19 ,0.15 , 0.24,"Children estimates were not available at the time of publication.",0.17 ,0.13 , 0.22,"Children estimates were not available at the time of publication.",0.15 ,0.11 , 0.20,"Children estimates were not available at the time of publication.",0.13 ,0.09 , 0.18,"Children estimates were not available at the time of publication.",0.11 ,0.08 , 0.16,"Children estimates were not available at the time of publication.",0.09 ,0.07 , 0.13,"Children estimates were not available at the time of publication.",0.08 ,0.05 , 0.12,"Children estimates were not available at the time of publication.",0.06 ,0.03 , 0.09,"Children estimates were not available at the time of publication.",0.04 ,0.01 , 0.07,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.03,"Children estimates were not available at the time of publication."
Slovakia,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Slovenia,0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.03,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.05,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.06,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.06,"Children estimates were not available at the time of publication.",0.05 ,0.03 , 0.07,"Children estimates were not available at the time of publication.",0.05 ,0.03 , 0.07,"Children estimates were not available at the time of publication.",0.05 ,0.03 , 0.07,"Children estimates were not available at the time of publication.",0.05 ,0.03 , 0.07,"Children estimates were not available at the time of publication.",0.05 ,0.03 , 0.07,"Children estimates were not available at the time of publication.",0.05 ,0.03 , 0.07,"Children estimates were not available at the time of publication.",0.04 ,0.03 , 0.06,"Children estimates were not available at the time of publication.",0.04 ,0.02 , 0.06,"Children estimates were not available at the time of publication.",0.04 ,0.02 , 0.05,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.05,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.03 ,0.02 , 0.04,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.03,"Children estimates were not available at the time of publication.",0.02 ,<0.01 , 0.02,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.02,"Children estimates were not available at the time of publication."
Somalia,0.11 ,0.08 , 0.16,,0.14 ,0.10 , 0.19,,0.17 ,0.13 , 0.22,,0.20 ,0.16 , 0.26,,0.24 ,0.19 , 0.29,,0.27 ,0.22 , 0.33,,0.31 ,0.26 , 0.37,,0.33 ,0.28 , 0.39,,0.36 ,0.31 , 0.42,,0.37 ,0.33 , 0.43,,0.38 ,0.33 , 0.43,,0.37 ,0.33 , 0.42,,0.36 ,0.32 , 0.41,,0.33 ,0.29 , 0.38,,0.30 ,0.26 , 0.35,,0.27 ,0.23 , 0.32,,0.23 ,0.19 , 0.27,,0.19 ,0.16 , 0.23,,0.15 ,0.12 , 0.18,,0.11 ,0.09 , 0.14,,0.08 ,0.06 , 0.11,,0.06 ,0.05 , 0.08,,0.05 ,0.03 , 0.07,,0.04 ,0.02 , 0.05,,0.03 ,0.02 , 0.04,,0.03 ,0.02 , 0.04,,0.02 ,0.02 , 0.04,,0.02 ,0.02 , 0.03,,0.02 ,0.02 , 0.04,,0.03 ,0.02 , 0.04,,0.03 ,0.02 , 0.04,
South Africa,3.10 ,1.82 , 4.30,,5.30 ,3.12 , 7.35,,8.10 ,4.76 , 11.24,,11.20 ,6.58 , 15.54,,14.10 ,8.29 , 19.56,,16.60 ,9.76 , 23.03,,18.59 ,10.93 , 25.80,,20.18 ,11.87 , 28.00,,21.39 ,12.58 , 29.69,,21.99 ,12.93 , 30.52,,21.99 ,12.93 , 30.52,,21.60 ,12.70 , 29.98,,20.91 ,12.30 , 29.02,,20.00 ,11.77 , 27.76,,19.31 ,11.36 , 26.80,,18.61 ,10.95 , 25.83,,17.91 ,10.54 , 24.86,,17.31 ,10.19 , 24.01,,16.59 ,9.77 , 23.00,,16.09 ,9.47 , 22.30,,15.49 ,9.12 , 21.46,,14.89 ,8.76 , 20.63,,14.09 ,8.29 , 19.52,,12.99 ,7.65 , 18.00,,12.19 ,7.17 , 16.90,,11.39 ,6.70 , 15.79,,10.79 ,6.35 , 14.95,,10.09 ,5.94 , 13.99,,9.19 ,5.41 , 12.74,,8.49 ,5.00 , 11.77,,7.79 ,4.58 , 10.80,
South Sudan,1.73 ,0.74 , 2.78,,1.96 ,0.91 , 3.08,,2.25 ,1.20 , 3.57,,2.42 ,1.39 , 3.77,,2.56 ,1.51 , 3.87,,2.84 ,1.82 , 4.27,,2.90 ,1.94 , 4.25,,2.90 ,1.97 , 4.31,,2.92 ,2.02 , 4.27,,2.96 ,2.05 , 4.12,,2.79 ,1.94 , 3.86,,2.68 ,1.88 , 3.63,,2.65 ,1.90 , 3.50,,2.55 ,1.85 , 3.33,,2.45 ,1.80 , 3.20,,2.37 ,1.77 , 3.11,,2.30 ,1.72 , 3.00,,2.28 ,1.72 , 2.98,,2.27 ,1.73 , 3.00,,2.31 ,1.74 , 3.02,,2.26 ,1.70 , 2.97,,2.26 ,1.69 , 2.95,,2.26 ,1.69 , 2.97,,2.26 ,1.69 , 2.98,,2.26 ,1.68 , 2.99,,2.26 ,1.64 , 2.95,,2.23 ,1.56 , 2.96,,2.26 ,1.57 , 3.10,,2.27 ,1.57 , 3.14,,2.24 ,1.50 , 3.13,,2.23 ,1.50 , 3.15,
Spain,0.61 ,0.58 , 0.63,"Children estimates were not available at the time of publication.",0.54 ,0.51 , 0.57,"Children estimates were not available at the time of publication.",0.45 ,0.44 , 0.47,"Children estimates were not available at the time of publication.",0.37 ,0.36 , 0.39,"Children estimates were not available at the time of publication.",0.31 ,0.30 , 0.33,"Children estimates were not available at the time of publication.",0.26 ,0.25 , 0.28,"Children estimates were not available at the time of publication.",0.22 ,0.21 , 0.24,"Children estimates were not available at the time of publication.",0.19 ,0.18 , 0.21,"Children estimates were not available at the time of publication.",0.17 ,0.16 , 0.18,"Children estimates were not available at the time of publication.",0.15 ,0.14 , 0.16,"Children estimates were not available at the time of publication.",0.14 ,0.13 , 0.15,"Children estimates were not available at the time of publication.",0.13 ,0.12 , 0.14,"Children estimates were not available at the time of publication.",0.13 ,0.11 , 0.13,"Children estimates were not available at the time of publication.",0.12 ,0.11 , 0.13,"Children estimates were not available at the time of publication.",0.12 ,0.11 , 0.14,"Children estimates were not available at the time of publication.",0.13 ,0.11 , 0.14,"Children estimates were not available at the time of publication.",0.13 ,0.11 , 0.14,"Children estimates were not available at the time of publication.",0.14 ,0.12 , 0.15,"Children estimates were not available at the time of publication.",0.15 ,0.13 , 0.16,"Children estimates were not available at the time of publication.",0.16 ,0.14 , 0.17,"Children estimates were not available at the time of publication.",0.16 ,0.15 , 0.18,"Children estimates were not available at the time of publication.",0.17 ,0.16 , 0.18,"Children estimates were not available at the time of publication.",0.18 ,0.16 , 0.19,"Children estimates were not available at the time of publication.",0.18 ,0.16 , 0.19,"Children estimates were not available at the time of publication.",0.18 ,0.17 , 0.20,"Children estimates were not available at the time of publication.",0.18 ,0.16 , 0.20,"Children estimates were not available at the time of publication.",0.18 ,0.16 , 0.20,"Children estimates were not available at the time of publication.",0.18 ,0.16 , 0.20,"Children estimates were not available at the time of publication.",0.17 ,0.15 , 0.20,"Children estimates were not available at the time of publication.",0.17 ,0.14 , 0.20,"Children estimates were not available at the time of publication.",0.16 ,0.13 , 0.21,"Children estimates were not available at the time of publication."
Sri Lanka,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,0.01 ,0.01 , 0.02,,0.02 ,0.02 , 0.02,,0.02 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.03 , 0.04,,0.04 ,0.03 , 0.04,,0.04 ,0.03 , 0.04,,0.04 ,0.03 , 0.04,,0.04 ,0.03 , 0.05,,0.04 ,0.03 , 0.04,,0.04 ,0.03 , 0.04,,0.03 ,0.03 , 0.04,,0.03 ,0.03 , 0.04,,0.03 ,0.02 , 0.04,,0.03 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.02 ,0.02 , 0.03,,0.02 ,0.02 , 0.03,,0.02 ,0.02 , 0.02,,0.02 ,0.02 , 0.02,,0.02 ,0.02 , 0.02,,0.02 ,0.02 , 0.02,,0.02 ,0.01 , 0.02,,0.01 ,0.01 , 0.02,,0.01 ,0.01 , 0.02,,0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.01,
Sudan,0.05 ,<0.01 , 0.26,,0.07 ,0.01 , 0.29,,0.11 ,0.02 , 0.32,,0.18 ,0.03 , 0.44,,0.28 ,0.06 , 0.63,,0.33 ,0.09 , 0.63,,0.34 ,0.11 , 0.63,,0.34 ,0.14 , 0.62,,0.33 ,0.17 , 0.56,,0.33 ,0.21 , 0.52,,0.31 ,0.21 , 0.46,,0.31 ,0.22 , 0.48,,0.30 ,0.21 , 0.43,,0.27 ,0.19 , 0.39,,0.20 ,0.14 , 0.28,,0.18 ,0.13 , 0.26,,0.20 ,0.15 , 0.28,,0.21 ,0.17 , 0.30,,0.22 ,0.17 , 0.30,,0.19 ,0.16 , 0.26,,0.18 ,0.14 , 0.23,,0.17 ,0.14 , 0.22,,0.17 ,0.13 , 0.21,,0.17 ,0.13 , 0.21,,0.16 ,0.13 , 0.20,,0.16 ,0.12 , 0.19,,0.15 ,0.12 , 0.19,,0.15 ,0.11 , 0.19,,0.15 ,0.11 , 0.19,,0.15 ,0.11 , 0.19,,0.15 ,0.11 , 0.19,
Suriname,0.51 ,0.27 , 1.26,,0.61 ,0.35 , 1.32,,0.76 ,0.45 , 1.45,,0.90 ,0.55 , 1.62,,1.07 ,0.69 , 1.78,,1.21 ,0.82 , 1.83,,1.38 ,1.00 , 1.90,,1.49 ,1.13 , 1.98,,1.59 ,1.26 , 2.06,,1.67 ,1.35 , 2.12,,1.72 ,1.41 , 2.15,,1.66 ,1.35 , 2.08,,1.64 ,1.31 , 2.02,,1.51 ,1.21 , 1.87,,1.37 ,1.07 , 1.71,,1.28 ,0.99 , 1.63,,1.20 ,0.92 , 1.59,,1.10 ,0.82 , 1.49,,1.02 ,0.75 , 1.39,,1.00 ,0.72 , 1.36,,0.97 ,0.70 , 1.34,,0.90 ,0.63 , 1.28,,0.83 ,0.57 , 1.20,,0.74 ,0.48 , 1.11,,0.69 ,0.44 , 1.05,,0.65 ,0.40 , 1.00,,0.61 ,0.37 , 0.94,,0.56 ,0.32 , 0.89,,0.54 ,0.29 , 0.87,,0.51 ,0.27 , 0.83,,0.51 ,0.26 , 0.83,
Sweden,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Switzerland,0.31 ,0.27 , 0.37,"Children estimates were not available at the time of publication.",0.25 ,0.21 , 0.30,"Children estimates were not available at the time of publication.",0.20 ,0.16 , 0.25,"Children estimates were not available at the time of publication.",0.16 ,0.13 , 0.20,"Children estimates were not available at the time of publication.",0.14 ,0.11 , 0.17,"Children estimates were not available at the time of publication.",0.12 ,0.09 , 0.16,"Children estimates were not available at the time of publication.",0.12 ,0.09 , 0.16,"Children estimates were not available at the time of publication.",0.12 ,0.09 , 0.16,"Children estimates were not available at the time of publication.",0.14 ,0.11 , 0.17,"Children estimates were not available at the time of publication.",0.15 ,0.12 , 0.18,"Children estimates were not available at the time of publication.",0.16 ,0.14 , 0.20,"Children estimates were not available at the time of publication.",0.18 ,0.14 , 0.21,"Children estimates were not available at the time of publication.",0.18 ,0.15 , 0.22,"Children estimates were not available at the time of publication.",0.18 ,0.14 , 0.22,"Children estimates were not available at the time of publication.",0.17 ,0.14 , 0.20,"Children estimates were not available at the time of publication.",0.16 ,0.13 , 0.19,"Children estimates were not available at the time of publication.",0.14 ,0.12 , 0.17,"Children estimates were not available at the time of publication.",0.13 ,0.10 , 0.16,"Children estimates were not available at the time of publication.",0.12 ,0.10 , 0.15,"Children estimates were not available at the time of publication.",0.11 ,0.09 , 0.14,"Children estimates were not available at the time of publication.",0.11 ,0.09 , 0.14,"Children estimates were not available at the time of publication.",0.11 ,0.09 , 0.13,"Children estimates were not available at the time of publication.",0.11 ,0.09 , 0.13,"Children estimates were not available at the time of publication.",0.10 ,0.08 , 0.13,"Children estimates were not available at the time of publication.",0.10 ,0.08 , 0.12,"Children estimates were not available at the time of publication.",0.09 ,0.07 , 0.11,"Children estimates were not available at the time of publication.",0.08 ,0.06 , 0.10,"Children estimates were not available at the time of publication.",0.07 ,0.05 , 0.10,"Children estimates were not available at the time of publication.",0.05 ,0.02 , 0.09,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
